File Name,McCabe,SLOC,Readability,Number of Revisions
src/checkstyle/3272.json,0,7,0.8130530714988708,2
src/checkstyle/2425.json,2,11,0.1775178164243698,2
src/checkstyle/3038.json,0,4,0.7382156252861023,1
src/checkstyle/3175.json,0,6,0.4603560268878937,0
src/checkstyle/3614.json,0,3,0.7431402206420898,1
src/checkstyle/3815.json,0,4,0.7512565851211548,0
src/checkstyle/3445.json,1,7,0.005350122228264809,0
src/checkstyle/3237.json,0,6,0.6046403646469116,3
src/checkstyle/2714.json,0,4,0.5877751708030701,1
src/checkstyle/3581.json,0,5,0.03457208350300789,0
src/checkstyle/1936.json,2,25,0.006824439391493797,1
src/checkstyle/3772.json,0,3,0.7796823978424072,0
src/checkstyle/31.json,0,3,0.9649941921234131,0
src/checkstyle/586.json,0,3,0.33396366238594055,0
src/checkstyle/1916.json,0,7,0.04044611006975174,0
src/checkstyle/1920.json,0,4,0.044491808861494064,0
src/checkstyle/1605.json,0,3,0.41723111271858215,0
src/checkstyle/54.json,0,2,0.9979799389839172,0
src/checkstyle/242.json,0,20,0.10908771306276321,0
src/checkstyle/2900.json,0,4,0.12801609933376312,0
src/checkstyle/2707.json,0,4,0.9393712878227234,1
src/checkstyle/1265.json,0,3,0.31042516231536865,1
src/checkstyle/1594.json,0,3,0.41723111271858215,0
src/checkstyle/2342.json,0,4,0.23279306292533875,0
src/checkstyle/2288.json,2,14,0.0804847776889801,0
src/checkstyle/269.json,0,20,0.06507547199726105,0
src/checkstyle/217.json,0,27,0.03112214431166649,0
src/checkstyle/3503.json,0,4,0.5646315813064575,0
src/checkstyle/3562.json,0,12,0.010802904143929482,1
src/checkstyle/2271.json,0,4,0.49887967109680176,0
src/checkstyle/3419.json,1,11,0.7719526886940002,1
src/checkstyle/3022.json,0,4,0.8408154845237732,1
src/checkstyle/3592.json,2,12,0.35210472345352173,0
src/checkstyle/787.json,1,25,0.021146435290575027,3
src/checkstyle/3795.json,0,4,0.4512391686439514,0
src/checkstyle/3425.json,5,26,0.08904523402452469,2
src/checkstyle/1247.json,0,3,0.8308093547821045,0
src/checkstyle/159.json,0,3,0.0,1
src/checkstyle/10.json,1,26,0.7697773575782776,0
src/checkstyle/545.json,0,6,0.2753339111804962,0
src/checkstyle/408.json,0,19,0.29111647605895996,0
src/checkstyle/728.json,1,7,0.03373101353645325,0
src/checkstyle/1472.json,0,5,0.08769866079092026,0
src/checkstyle/3731.json,0,4,0.694635272026062,1
src/checkstyle/3391.json,2,13,0.004364427179098129,0
src/checkstyle/3339.json,0,3,0.37033408880233765,1
src/checkstyle/637.json,0,4,0.5016458630561829,0
src/checkstyle/722.json,0,4,0.880396842956543,0
src/checkstyle/639.json,1,11,0.24595262110233307,1
src/checkstyle/38.json,0,2,0.9995984435081482,0
src/checkstyle/3813.json,1,10,0.6030550003051758,1
src/checkstyle/3000.json,1,9,0.11986969411373138,0
src/checkstyle/1098.json,0,4,0.7780917286872864,0
src/checkstyle/2774.json,0,6,0.6100172996520996,0
src/checkstyle/1649.json,1,14,0.15332834422588348,1
src/checkstyle/2524.json,0,4,0.6384662389755249,1
src/checkstyle/1417.json,3,37,7.749481592327356E-4,2
src/checkstyle/2436.json,0,5,0.19863079488277435,0
src/checkstyle/3778.json,0,6,0.8371848464012146,1
src/checkstyle/1890.json,0,4,0.6541109681129456,0
