File Name, McCabe, SLOC, Readability, Number of Revisions
src/hadoop/79322.json,2,15,0.059519972652196884,1
src/hadoop/9603.json,0,6,0.3023897409439087,0
src/hadoop/16705.json,0,3,0.8181871771812439,0
src/hadoop/61187.json,0,6,0.7005648016929626,0
src/hadoop/7660.json,9,48,0.0,1
src/hadoop/3272.json,0,3,0.7987839579582214,0
src/hadoop/79610.json,0,5,0.6637466549873352,0
src/hadoop/37906.json,1,12,4.5343986130319536E-4,0
src/hadoop/76032.json,1,6,0.005550498142838478,0
src/hadoop/40533.json,0,3,0.4286264181137085,0
src/hadoop/53555.json,1,5,0.4919591546058655,0
src/hadoop/68248.json,0,3,0.5138770341873169,0
src/hadoop/9868.json,0,3,0.009602950885891914,0
src/hadoop/48890.json,0,4,0.38897138833999634,0
src/hadoop/51520.json,0,3,0.011529617942869663,0
src/hadoop/6766.json,0,3,0.85118168592453,0
src/hadoop/56443.json,0,3,0.1175808534026146,0
src/hadoop/36393.json,0,3,0.8463761806488037,0
src/hadoop/30759.json,0,3,0.01089057419449091,0
src/hadoop/31634.json,0,8,0.04706268012523651,0
src/hadoop/56342.json,0,3,0.814456582069397,0
src/hadoop/42655.json,0,3,0.6048014163970947,0
src/hadoop/60571.json,0,6,0.4963059425354004,0
src/hadoop/54201.json,0,8,0.02698393724858761,0
src/hadoop/40086.json,3,3,0.3834608197212219,0
src/hadoop/30862.json,0,3,0.800251305103302,0
src/hadoop/24869.json,2,21,0.00255790026858449,0
src/hadoop/80259.json,0,123,0.0,0
src/hadoop/72971.json,2,13,0.11205601692199707,1
src/hadoop/15661.json,0,4,0.4391927421092987,0
src/hadoop/59575.json,0,16,0.16065944731235504,0
src/hadoop/66491.json,0,4,0.33675166964530945,0
src/hadoop/22580.json,0,10,0.03694574907422066,1
src/hadoop/60428.json,0,3,0.011529617942869663,0
src/hadoop/34855.json,1,4,0.3531748950481415,0
src/hadoop/57435.json,0,3,0.27266260981559753,0
src/hadoop/52638.json,0,9,0.008843964897096157,0
src/hadoop/41204.json,0,3,0.294849693775177,0
src/hadoop/74821.json,0,4,0.19679078459739685,0
src/hadoop/52972.json,0,4,0.26730719208717346,0
src/hadoop/27678.json,0,3,0.011529617942869663,0
src/hadoop/56103.json,0,4,0.30625009536743164,0
src/hadoop/53132.json,1,4,0.3844487965106964,0
src/hadoop/62012.json,3,3,0.6298736929893494,0
src/hadoop/55172.json,0,24,1.7657926946412772E-4,0
src/hadoop/13507.json,2,22,0.045193661004304886,0
src/hadoop/36872.json,0,6,0.011455303058028221,0
src/hadoop/81449.json,0,14,0.05429299548268318,0
src/hadoop/39682.json,1,3,0.5035380125045776,0
src/hadoop/62897.json,7,3,0.7646763920783997,0
src/hadoop/18400.json,0,7,0.6284683346748352,0
src/hadoop/78413.json,0,57,0.0,0
src/hadoop/29294.json,0,4,0.23939630389213562,0
src/hadoop/12026.json,0,3,0.5525790452957153,1
src/hadoop/75452.json,0,3,0.6638309955596924,1
src/hadoop/28765.json,0,5,0.18584783375263214,0
src/hadoop/39121.json,0,3,0.6034737825393677,0
src/hadoop/30795.json,1,6,0.1936766356229782,0
src/hadoop/67527.json,4,3,0.7239384055137634,0
src/hadoop/25782.json,0,18,0.0029381129425019026,0
src/hadoop/22946.json,0,19,0.0016703178407624364,0
src/hadoop/73121.json,2,22,0.0,1
src/hadoop/2425.json,0,4,0.3401153087615967,1
src/hadoop/43199.json,0,3,0.49116072058677673,1
src/hadoop/55691.json,0,5,0.37509089708328247,0
src/hadoop/55581.json,1,8,0.7771759033203125,0
src/hadoop/19711.json,0,2,0.45313623547554016,0
src/hadoop/12186.json,0,3,0.6147775650024414,0
src/hadoop/35680.json,1,4,0.5778816342353821,0
src/hadoop/78609.json,0,21,0.019444022327661514,0
src/hadoop/38525.json,0,3,0.7325907349586487,1
src/hadoop/34431.json,1,3,0.8469837307929993,0
src/hadoop/36152.json,0,8,0.004529362078756094,0
src/hadoop/69067.json,0,3,0.5325362086296082,0
src/hadoop/69512.json,0,4,0.2241562008857727,1
src/hadoop/78138.json,0,21,0.7154513001441956,0
src/hadoop/75109.json,0,4,0.6076624989509583,0
src/hadoop/10850.json,2,4,0.4378277361392975,0
src/hadoop/44469.json,0,17,0.0,0
src/hadoop/60529.json,0,4,0.6522601842880249,0
src/hadoop/66453.json,0,3,0.7964034676551819,0
src/hadoop/79064.json,0,30,5.61474182177335E-4,0
src/hadoop/72320.json,1,3,0.1667802482843399,1
src/hadoop/43234.json,6,3,0.49116072058677673,0
src/hadoop/37501.json,2,4,0.003926201723515987,1
src/hadoop/47770.json,1,3,0.6906371116638184,0
src/hadoop/80490.json,0,9,0.1690286546945572,0
src/hadoop/22817.json,0,71,0.0,0
src/hadoop/69645.json,2,23,0.0014808587729930878,1
src/hadoop/68782.json,0,25,0.026363885030150414,0
src/hadoop/12744.json,0,4,0.40276193618774414,0
src/hadoop/8416.json,0,3,0.4623970687389374,1
src/hadoop/67829.json,0,10,0.5815379023551941,0
src/hadoop/51736.json,0,7,6.948317168280482E-4,0
src/hadoop/53863.json,1,3,0.5413116216659546,0
src/hadoop/16039.json,4,4,0.0694834366440773,1
src/hadoop/35029.json,0,4,0.21171920001506805,0
src/hadoop/80907.json,0,8,0.3900173604488373,0
src/hadoop/21968.json,2,14,0.0013906947569921613,1
src/hadoop/78862.json,16,24,5.823850515298545E-4,1
src/hadoop/41871.json,1,3,0.8890337944030762,0
src/hadoop/43608.json,0,9,0.03192032501101494,0
src/hadoop/79505.json,0,15,0.0011070038890466094,0
src/hadoop/3038.json,0,63,0.0,0
src/hadoop/38743.json,1,8,0.0015457326080650091,1
src/hadoop/22012.json,0,3,0.12967482209205627,0
src/hadoop/38412.json,1,2,0.9964867830276489,1
src/hadoop/25519.json,0,3,0.6193063855171204,0
src/hadoop/10100.json,3,3,0.8583396077156067,0
src/hadoop/73291.json,0,3,0.2996332049369812,0
src/hadoop/10306.json,0,13,0.23437081277370453,1
